cell_lat,cell_lon,count
-7.5,152.5,654
-12.5,167.5,594
37.5,142.5,588
-22.5,-177.5,583
2.5,127.5,558
-17.5,-172.5,534
-17.5,167.5,456
-17.5,-177.5,451
42.5,147.5,388
-57.5,-27.5,373
-32.5,-177.5,372
-27.5,-177.5,366
-7.5,147.5,344
7.5,127.5,326
22.5,122.5,304
-7.5,157.5,284
47.5,152.5,275
42.5,142.5,268
-12.5,162.5,257
-2.5,152.5,251
-32.5,-72.5,249
-7.5,127.5,243
-2.5,137.5,226
52.5,-177.5,221
-22.5,172.5,207
-22.5,-67.5,201
-22.5,167.5,199
-2.5,127.5,194
37.5,72.5,193
2.5,97.5,193
-22.5,-172.5,192
12.5,-87.5,186
12.5,-92.5,181
2.5,122.5,164
-2.5,102.5,155
7.5,-82.5,153
7.5,92.5,146
52.5,177.5,143
12.5,122.5,141
12.5,142.5,141
-2.5,142.5,134
-2.5,147.5,134
52.5,157.5,128
32.5,142.5,128
-7.5,132.5,127
-2.5,132.5,127
-17.5,-72.5,127
-7.5,122.5,124
17.5,122.5,124
7.5,122.5,123
-2.5,122.5,122
52.5,-172.5,121
32.5,137.5,119
-37.5,-72.5,116
52.5,-167.5,116
27.5,127.5,113
12.5,127.5,112
17.5,147.5,109
-7.5,107.5,108
-27.5,-72.5,107
-7.5,117.5,106
-7.5,102.5,103
-22.5,-72.5,102
52.5,162.5,99
37.5,22.5,97
-22.5,177.5,96
-37.5,177.5,96
17.5,-97.5,95
-12.5,-77.5,88
17.5,-102.5,88
27.5,142.5,83
52.5,172.5,83
47.5,77.5,82
32.5,132.5,82
-7.5,112.5,78
-12.5,117.5,75
-17.5,-67.5,75
47.5,157.5,73
17.5,-107.5,69
-32.5,-67.5,69
-2.5,97.5,68
12.5,92.5,67
57.5,-152.5,67
-17.5,177.5,66
22.5,142.5,66
37.5,137.5,64
42.5,-127.5,64
52.5,-162.5,62
57.5,162.5,62
-57.5,-142.5,62
-2.5,-77.5,61
2.5,-77.5,60
-57.5,147.5,60
7.5,-77.5,59
-27.5,-112.5,58
37.5,27.5,57
-37.5,-102.5,57
12.5,147.5,54
-42.5,172.5,53
-2.5,-17.5,52
