seed,success_rate,ci_low,ci_high,mean_return,goals_during_training,undecided_states
0.0,0.73,0.7101157144382926,0.7490024438123315,0.73,8230.0,0.0
1.0,0.7255,0.7055237460284108,0.7446116656477447,0.7255,8213.0,0.0
2.0,0.7255,0.7055237460284108,0.7446116656477447,0.7255,8280.0,0.0
3.0,0.7255,0.7055237460284108,0.7446116656477447,0.7255,8131.0,0.0
4.0,0.73,0.7101157144382926,0.7490024438123315,0.73,8171.0,0.0
5.0,0.73,0.7101157144382926,0.7490024438123315,0.73,8241.0,0.0
6.0,0.7255,0.7055237460284108,0.7446116656477447,0.7255,8186.0,0.0
7.0,0.73,0.7101157144382926,0.7490024438123315,0.73,8165.0,0.0
8.0,0.73,0.7101157144382926,0.7490024438123315,0.73,8157.0,0.0
9.0,0.7255,0.7055237460284108,0.7446116656477447,0.7255,8125.0,0.0
10.0,0.7255,0.7055237460284108,0.7446116656477447,0.7255,8226.0,0.0
11.0,0.7255,0.7055237460284108,0.7446116656477447,0.7255,8138.0,0.0
