id,degree,name
859,1933,CAPTAIN AMERICA
5306,1741,SPIDER-MAN/PETER PAR
2664,1528,IRON MAN/TONY STARK 
5716,1426,THING/BENJAMIN J. GR
6306,1394,WOLVERINE/LOGAN 
3805,1386,MR. FANTASTIC/REED R
2557,1371,HUMAN TORCH/JOHNNY S
4898,1345,SCARLET WITCH/WANDA 
5736,1289,THOR/DR. DONALD BLAK
403,1280,BEAST/HENRY &HANK& P
6066,1263,VISION 
2650,1244,INVISIBLE WOMAN/SUE 
2399,1176,HAWK
1289,1104,CYCLOPS/SCOTT SUMMER
5467,1095,STORM/ORORO MUNROE S
133,1094,ANGEL/WARREN KENNETH
6148,1093,WASP/JANET VAN DYNE 
154,1092,ANT-MAN/DR. HENRY J.
5046,1080,SHE-HULK/JENNIFER WA
1602,1079,DR. STRANGE/STEPHEN 
2548,1066,HULK/DR. ROBERT BRUC
6313,1055,WONDER MAN/SIMON WIL
1127,1045,COLOSSUS II/PETER RA
4366,1042,PROFESSOR X/CHARLES 
3495,1029,MARVEL GIRL/JEAN GRE
2449,1014,HERCULES [GREEK GOD]
2971,987,"JARVIS, EDWIN "
5516,978,SUB-MARINER/NAMOR MA
1347,971,DAREDEVIL/MATT MURDO
2603,966,ICEMAN/ROBERT BOBBY 
545,938,BLACK WIDOW/NATASHA 
2016,922,"FURY, COL. NICHOLAS "
2959,920,"JAMESON, J. JONAH"
4454,878,QUICKSILVER/PIETRO M
3950,857,NIGHTCRAWLER/KURT WA
4726,853,ROGUE /
2397,809,HAVOK/ALEX SUMMERS 
6166,800,"WATSON-PARKER, MARY "
522,754,BLACK KNIGHT V/DANE 
4441,736,QUASAR III/WENDELL V
5002,718,SHADOWCAT/KATHERINE 
4395,717,PSYLOCKE/ELISABETH B
533,711,BLACK PANTHER/T'CHAL
1265,705,CRYSTAL [INHUMAN]
3994,703,NOVA/RICHARD RIDER
5121,668,SILVER SURFER/NORRIN
1582,658,DR. DOOM/VICTOR VON 
4704,643,"ROBERTSON, JOE"
854,641,CANNONBALL II/SAM GU
4650,638,"RICHARDS, FRANKLIN B"
1892,620,FIRESTAR/ANGELICA JO
2040,619,GAMBIT/REMY LEBEAU 
3889,610,NAMORITA/NITA PRENTI
824,607,"CAGE, LUKE/CARL LUCA"
5978,590,USAGENT/CAPTAIN JOHN
3757,589,MOONDRAGON/HEATHER D
5525,585,"SUMMERS, NATHAN CHRI"
4289,581,POLARIS/LORNA DANE
4978,581,SERSI/SYLVIA
2658,550,IRON FIST/DANIEL RAN
5768,542,THUNDERSTRIKE/ERIC K
1805,541,FALCON/SAM WILSON
1165,539,"COOPER, DR. VALERIE"
3035,539,"JONES, RICHARD MILHO"
491,537,BINARY/CAROL DANVERS
875,532,CAPTAIN MARVEL II/MO
6300,529,WOLFSBANE/RAHNE SINC
3363,526,MAGNETO/MAGNUS/ERIC 
5931,526,UATU
3712,522,MOCKINGBIRD/DR. BARB
5776,516,TIGRA/GREER NELSON
5294,512,SPEEDBALL/ROBBIE BAL
5540,511,SUNSPOT/ROBERTO DACO
340,502,BANSHEE/SEAN CASSIDY
3918,497,"NELSON, FRANKLIN FOG"
1657,494,"DUGAN, TIMOTHY ALOYI"
1587,489,DR. DRUID/ANTHONY LU
3066,489,JUSTICE II/VANCE AST
4155,488,"PARKER, MAY"
4415,484,PUNISHER II/FRANK CA
1959,482,FORGE
4860,482,SASQUATCH/WALTER LAN
2666,465,IRON MAN IV/JAMES R.
867,460,CAPTAIN BRITAIN/BRIA
5388,457,STARFOX/EROS
3329,452,"MACTAGGERT, MOIRA KI"
5762,451,THUNDERBIRD II/JAMES
3594,449,MEDUSA/MEDUSALITH AM
424,446,BEETLE/ABNER RONALD 
2728,445,KARNAK [INHUMAN]
505,444,BLACK BOLT/BLACKANTO
6316,444,WONG
2811,442,KINGPIN/WILSON FISK
2184,439,GORGON [INHUMAN]
3530,439,"MASTERS, ALICIA REIS"
3750,439,MOON KNIGHT/MARC SPE
3055,436,JUBILEE/JUBILATION L
649,435,BOOMER/TABITHA SMITH
4935,432,SCREAMING MIMI/MELIS
3765,429,MOONSTONE II/KARLA S
5013,428,SHAMAN/MICHAEL TWOYO
3245,425,LOKI [ASGARDIAN]
3989,424,NORTHSTAR/JEAN-PAUL 
595,423,BLOB/FRED J. DUKES
4045,423,ODIN [ASGARDIAN]
4318,421,POWER MAN/ERIK JOSTE
5874,420,TRITON
2544,416,"HUDSON, HEATHER"
5310,415,SPIDER-WOMAN II/JULI
3135,414,"LEEDS, BETTY BRANT"
2031,411,GALACTUS/GALAN
155,410,ANT-MAN II/SCOTT HAR
274,410,AURORA/JEANNE-MARIE 
5970,407,"URICH, BEN"
3691,398,MIRAGE II/DANIELLE M
4240,397,PHOENIX III/RACHEL S
3233,395,LOCKJAW [INHUMAN]
3624,395,MEPHISTO
3868,395,MYSTIQUE/RAVEN DARKH
1818,393,FANDRAL [ASGARDIAN]
2506,393,HOGUN [ASGARDIAN]
6216,393,WHITE QUEEN/EMMA FRO
2297,392,"GYRICH, HENRY PETER"
3986,389,"NORRISS, SISTER BARB"
5705,387,THANOS
3949,384,NIGHT THRASHER/DUANE
4228,382,PHARAOH RAMA-TUT
4398,381,PUCK/EUGENE MILTON J
5099,380,SIF
5535,379,SUNFIRE/SHIRO YOSHID
4839,377,SANDMAN/WILLIAM BAKE
1383,376,DAZZLER II/ALLISON B
3208,372,LIVING LIGHTNING/MIG
5146,366,SIRYN/THERESA ROURKE
2430,365,HELLCAT/PATSY WALKER
500,359,BISHOP /
2354,359,"HARKNESS, AGATHA"
1365,356,DARKHAWK/CHRIS POWEL
5308,355,SPIDER-MAN CLONE/BEN
323,352,BALDER [ASGARDIAN]
6084,350,VOLSTAGG
5732,349,"THOMPSON, EUGENE FLA"
5485,347,STRONG GUY/GUIDO CAR
337,344,"BANNER, BETTY ROSS T"
2558,342,HUMAN TORCH ANDROID/
1062,337,CITIZEN V II/HELMUT 
3188,335,LILANDRA NERAMANI [S
2466,334,HIGH EVOLUTIONARY/HE
920,333,"CARTER, PEGGY"
1551,333,DOMINO III/BEATRICE/
2842,333,"KNIGHT, MISTY"
2931,332,JACK OF HEARTS/JACK 
2689,330,KA-ZAR/KEVIN PLUNDER
1369,329,DARKSTAR/LAYNIA SERG
1773,329,ETERNITY/ADAM QADMON
4759,329,"ROSS, GEN. THADDEUS "
3231,324,LOCKHEED
4088,321,"OSBORN, LIZ ALLAN"
1739,319,ENCHANTRESS/AMORA/HE
1634,318,DRAX/ARTHUR DOUGLAS
3601,316,MEGGAN
3995,316,NOVA II/FRANKIE RAYE
3836,315,MULTIPLE MAN/JAMES A
6140,315,WARLOCK II/ADAM WARL
4647,311,RHINO
1535,304,DOC SAMSON/DR. LEONA
2273,304,GUARDIAN/JAMES MACDO
1299,302,CYPHER/DOUG RAMSEY
2958,302,"JAMESON, COL. JOHN "
508,301,BLACK CAT/FELICIA HA
4132,300,PALADIN/PAUL DENNIS
3388,299,MAKKARI/MIKE KHARY/I
5778,299,"TILBY, TRISH/PATRICI"
4427,298,PYRO/ALLERDYCE JOHNN
1908,296,FIXER II/PAUL NORBER
2124,296,GHOST RIDER III/DAN 
3724,296,MOLE MAN/HARVEY RUPE
5309,294,SPIDER-WOMAN/JESSICA
2423,292,HELA [ASGARDIAN]
4125,289,"PAGE, KAREN"
3015,286,JOLT/HALLIE TAKAHAMA
5446,284,STINGRAY/DR. WALTER 
4024,283,"O'BRIEN, MICHAEL"
3059,282,JUGGERNAUT/CAIN MARK
3829,282,MS. MARVEL II/SHARON
710,281,"BRIDGE, GEORGE WASHI"
1718,281,ELECTRO/MAX DILLON
5999,281,VANGUARD/NICOLAI KRY
1402,280,DEATH
4481,280,RAGE/ELVIN DARYL HAL
5021,279,SHANNA/SHANNA O'HARA
6141,279,WARLOCK III
284,277,AVALANCHE/DOMINIC PE
2438,277,HELLSTORM/DAIMON HEL
6160,277,"WATSON, ANNA"
16,275,ABSORBING MAN/CARL C
4805,273,SABRETOOTH/VICTOR CR
2123,271,GHOST RIDER II/JOHNN
4607,270,REDWING
2824,268,KLAW/ULYSSES KLAW
2203,266,"GRANT, GLORIA GLORY"
3359,265,MAGIK/ILLYANA RASPUT
516,264,BLACK KING/SEBASTIAN
1084,263,CLOAK/TYRONE JOHNSON
2069,263,GARGOYLE II/ISAAC CH
2799,263,"KINCAID, DR. JANE FO"
2096,262,GEE/ALEX POWER
2218,262,GREEN GOBLIN/NORMAN 
172,261,APOCALYPSE/EN SABAH 
1385,261,"DE LA FONTAINE, CONT"
2503,260,"HOGAN, VIRGINIA PEPP"
3302,259,LYJA LAZERFIST [SKRU
921,258,"CARTER, SHARON"
6351,258,X-MAN/NATHAN GREY 
2422,257,HEIMDALL [ASGARDIAN]
3319,257,MACHINE MAN/X-51
2614,254,IKARIS/IKE HARRIS [E
6241,254,WILD CHILD/KYLE GIBN
1155,253,CONSTRICTOR/FRANK PA
4599,253,RED SKULL/JOHANN SCH
5110,253,SILHOUETTE
5795,253,TITANIA II/MARY SKEE
3956,252,NIGHTHAWK II/KYLE RI
2960,251,"JAMESON, MARLA MADIS"
5524,251,"SUMMERS, MADELYNE MA"
1319,250,DAGGER/TANDY BOWEN
874,246,CAPTAIN MARVEL/CAPTA
1077,246,CLEA
5250,244,SNOWBIRD/NARYA/ANNE 
5899,244,TURBO II (A)/MICHIKO
6291,244,WIZARD/BENTLEY WITTM
4087,243,"OSBORN, HARRY"
2052,242,ÁGAMORA
3470,242,MARROW/SARAH 
6402,242,ZABU
4731,241,"ROM, SPACEKNIGHT"
3296,239,LUNA/LUNA MAXIMOFF [
4261,239,PIP/PRINCE GOFERN
472,238,BETA RAY BILL
5555,238,SUPREME INTELLIGENCE
5800,238,TOAD/MORTIMER TOYNBE
478,236,BEYONDER
1503,236,DIAMONDBACK II/RACHE
650,235,BOOMERANG/FRED MYERS
1097,235,COBRA/KLAUS VORHEES
2582,235,HUSK/PAIGE GUTHRIE
1063,234,CITIZEN V III/DALLAS
6273,234,"WING, COLLEEN"
1381,233,DAYTRIPPER/AMANDA SE
5707,233,THENA
1594,232,DR. OCTOPUS/OTTO OCT
1011,231,CHARCOAL/CHARLIE BUR
4661,230,RICTOR/JULIO ESTEBAN
6056,229,VIPER II
1467,228,DESTINY II/IRENE ADL
4417,228,PUPPET MASTER/PHILLI
4804,228,SABRA/RUTH BAT-SERAP
5165,228,SKIN/ANGELO ESPINOSA
5849,228,TRAPSTER/PETER PETRU
6341,228,WRECKER III/DIRK GAR
328,225,"BALLANTINE, KAYLA"
3023,225,"JONES, GABE"
5834,224,TORPEDO III/BROCK JO
2142,222,GLADIATOR II
3250,222,LONGSHOT
2502,221,"HOGAN, HAROLD J. HAP"
3419,221,MANDARIN
6432,220,ZEUS
3373,218,MAGUS
4589,218,RED GHOST/IVAN KRAGO
3008,217,JOCASTA
5583,216,SYNCH/EVERETT THOMAS
5722,215,THINKER
2588,214,HYDROMAN/MORRIE BENC
5034,214,SHATTERSTAR II/GAVEE
831,213,CALIBAN/
2760,212,"KELLY, SEN. ROBERT E"
5760,212,THUNDERBALL/DR. ELIO
1197,211,COUNTERWEIGHT II/KAT
1876,211,FIREBIRD/BONITA JUAR
991,210,CHAMBER/JONOTHON STA
4188,210,PEATOR
6006,210,VASHTI
3134,209,LEECH
1397,208,DEADPOOL/JACK/WADE W
2613,208,IGOR
3662,208,MIKHLO
3705,208,MISTER HYDE/CALVIN Z
361,206,BARON STRUCKER/WOLFG
1177,206,"CORBEAU, DR. PETER"
1891,206,FIRELORD/PYREUS KRIL
3294,206,"LUMPKIN, WILLIAM WIL"
3347,206,"MADDICKS, ARTHUR ART"
5317,206,SPIRAL
6206,206,WHIPLASH/MARK SCARLO
3984,205,NOMAD III/JACK MONRO
5159,204,"SITWELL, JASPER"
5868,204,TRIATHLON/DELROY GAR
6208,204,WHIRLWIND/DAVID CANN
1407,203,DEATHBIRD [SHI'AR]
1188,201,CORSAIR
1787,201,EXECUTIONER II/SKURG
6227,201,WHIZZER/ROBERT L. FR
1196,200,COUNTERWEIGHT/JACK P
3187,200,LIGHTSPEED/JULIE POW
3515,200,MASTER MOLD II
5118,200,SILVER SABLE
3360,199,MAGMA/AMARA AQUILLA/
5375,198,"STANKOWICZ, FABIAN"
895,197,CARGIL/JOANNA CARGIL
269,196,ATTUMA
6196,196,WEREWOLF BY NIGHT/JA
837,195,CALLISTO
2199,195,GRANDMASTER/EN DWI G
2819,195,KISMET/J'RIDIA STARD
6099,193,VULTURE/ADRIAN TOOME
66,192,AJAK/TECUMOTZIN [ETE
1887,191,FIREFIST/RUSTY COLLI
2496,191,HOBGOBLIN V/JASON PH
5775,191,TIGER SHARK/TODD ARL
1412,190,DEATHLOK III/MICHAEL
2726,190,KARMA/XI'AN COY MANH
5164,190,SKIDS/SALLY BLEVINS
2592,189,HYPERION
3822,189,MR. SINISTER/NATHAN 
6072,189,VIZIER
3331,188,MAD DOG/COLONEL BUZZ
3415,188,MAN-THING/THEODORE T
10,187,ABOMINATION/EMIL BLO
188,187,"ARBOGAST, BAMBI"
1962,187,FORGOTTEN ONE/GILGAM
3122,187,LEADER/SAM STERNS
4754,187,"ROSENTHAL, BERNIE"
2731,186,KARNILLA [ASGARDIAN]
514,185,BLACK GOLIATH/DR. WI
2295,185,GYPSY MOTH
4959,185,SELENE
3211,184,LIVING TRIBUNAL
4252,184,PILEDRIVER II/BRIAN 
4353,184,PRINCESS PYTHON/ZELD
1118,183,COLLECTOR/TANELEER T
4682,183,RINGMASTER/MAYNARD T
5942,183,ULTRON
1356,182,DARK BEAST/HENRY MCC
2083,182,GATEWAY
5119,182,SILVER SAMURAI/KENYU
1224,181,CRIMSON COWL II/
3132,181,"LEE, STAN"
3136,181,"LEEDS, NED"
1599,180,DR. SPECTRUM/JOSEPH 
3716,180,MODOK/GEORGE TARLETO
731,179,BROTHER VOODOO/DANIE
1847,178,FERAL/MARIA CALLASAN
5547,178,SUPER SKRULL/KL'RT
767,177,BULLDOZER/HENRY CAMP
3031,176,"JONES, MARLO CHANDLE"
4090,176,"OSBORN, NORMIE"
5706,176,THANOS DOPPELGANGER
5973,176,URSA MAJOR/MIKHAIL U
381,175,BATROC/GEORGES BATRO
4741,175,RONAN THE ACCUSER [K
5066,175,SHIP
5088,175,SHROUD/MAXIMILLIAN Q
6003,175,VAPOR
970,173,CH'OD
2764,172,"KENT, CLARK"
4563,172,RAZA LONGKNIFE
6228,172,WHIZZER II/STANLEY S
208,171,ARISHEM [CELESTIAL]
528,171,BLACK MAMBA/TANYA SE
592,171,BLITZKRIEG/
1449,171,DEMOLITION MAN/DENNI
3606,171,MELTER/BRUNO HORGAN
1231,170,CRIMSON DYNAMO V/DIM
183,169,ARABIAN KNIGHT/ABDUL
1496,169,DIABLO/ESTEBAN DE AB
3806,169,MR. FANTASTIC DOPPEL
4274,169,PLANTMAN/SAM SMITHER
5280,169,"SOUTHERN, CANDY"
5616,169,TALISMAN II/ELIZABET
1622,167,DRAGONFLY/VERONICA D
2237,167,"GREY, DR. JOHN"
5017,167,SHAMROCK/MOLLY FITZG
108,166,ANACONDA/BLANCHE SIT
5401,166,STARSHINE II/BRANDY 
5498,166,"STRUCKER, ANDREAS"
5622,166,"TANAKA, KENJIRO"
5692,165,TESSA
3406,164,MAM'SELLE HEPZIBAH
3544,164,MAXIMUS [INHUMAN]
5458,164,"STONE, LT. MARCUS"
5497,164,"STRUCKER, ANDREA"
5960,164,UNION JACK III/JOEY 
6283,164,"WISDOM, PETER"
576,163,BLAQUESMITH
4197,163,PENANCE/MONET ST. CR
2119,162,GHAUR [DEVIANT]
4322,162,"POWER, DR. JIM"
4591,162,RED GUARDIAN III/DR.
4707,162,"ROBERTSON, RANDY"
3212,161,LIZARD/DR. CURTIS CO
5696,161,TEXAS TWISTER/DREW D
1480,159,DEVIL-SLAYER/ERIC SI
6000,159,VANISHER
3726,158,MOLECULE MAN/OWEN RE
3865,158,MYSTERIO/QUENTIN BEC
5358,158,"STACY, JILL"
387,157,BATTLESTAR/LEMAR HOS
2800,157,"KINCAID, DR. KEITH"
3619,157,MENTOR/ALARS [ETERNA
6019,157,VENOM/EDDIE BROCK
3120,156,"LE FEY, MORGAN"
4875,156,SAURON/DR. KARL LYKO
5574,156,SWORDSMAN/JACQUES DU
6155,154,WATER WIZARD/PETE
1273,153,"CUSHING, KATE"
1750,153,EPOCH
5587,153,"SZARDOS, MARGALI"
191,152,ARCANNA/ARCANNA JONE
247,152,ASP II/CLEO
638,152,BOLT II/CHRIS BRADLE
1029,152,"CHENEY, LILA"
2028,152,GAEA
2328,152,"HAMMER, JUSTIN"
6438,152,ZIRAN
1696,151,EGO
4074,151,ORACLE/LADY SIBYL
5127,151,SILVERMANE/SILVIO MA
5763,151,THUNDERBIRD III/NEAL
672,150,BOX IV/MADISON JEFFR
1613,150,DRACULA/VLAD TEPES
4383,150,PROWLER/HOBIE BROWN
4888,150,SCANNER II
1571,149,DORMAMMU
2669,149,IRON MAN DOPPELGANGE
3636,149,"MERRYWEATHER, IRENE"
4325,149,"POWER, MARGARET"
6275,149,"WINGFOOT, WYATT"
3279,148,"LUBENSKI, NATE"
3955,148,NIGHTHAWK/KYLE RICHM
4705,148,"ROBERTSON, MARTHA"
6229,148,WHIZZER III/JAMES SA
1689,147,EEL II/EDWARD LAVELL
2894,147,KRISTOFF/KRISTOFF VE
3440,147,MANTIS/? BRANDT
5106,147,"SIKORSKY, RAYMOND"
4603,146,RED WOLF III/WILL TA
4685,146,RINTRAH
5072,146,SHOCKER/HERMAN SCHUL
2896,145,KRO [DEVIANT]
3100,145,"LANG, CASSANDRA CASS"
3410,145,MAN-KILLER/KATRINA L
4239,145,PHOENIX II
4282,145,PLUTO [OLYMPIAN]
4733,145,ROMA
5817,145,TOMBSTONE/LONNIE THO
1191,144,"CORTEZ, FABIAN"
2235,144,GREY GARGOYLE/PAUL P
3020,144,"JONES, CHARLOTTE"
1649,143,"DRUMM, JERICHO"
1677,143,EBONY
2723,143,KARKAS [DEVIANT]
3143,143,LEGION II/DAVID HALL
4453,143,QUICKSAND
876,142,CAPTAIN MARVEL III/G
2238,142,"GREY, ELAINE"
2331,142,HAMMERHEAD
2670,142,IRONCLAD
3507,142,MASTER/ESHU
3525,142,MASTERMIND/JASON WYN
3959,142,NIGHTMARE/EDVARD HAB
5840,142,"TOWER, BLAKE"
5986,142,VALINOR
6079,142,VOLCANA/MARSHA ROSEN
2881,141,KRAVEN THE HUNTER/SE
3307,141,M
4976,141,SERGEI
666,140,BOVA
1195,140,"COUNT NEFARIA, LUCHI"
3334,140,MADAME MASQUE/GIULIE
4302,140,PORCUPINE/ALEX GENTR
4593,140,RED GUARDIAN V
5477,140,STRANGER
132,139,ANGAR THE SCREAMER/D
195,139,ARCLIGHT/PHILLIPA SO
1088,139,CLOWN/CRAFTY ELIOT F
3576,139,"MCLAREN, MEGAN"
4800,139,S'YM
6353,139,X-RAY
544,138,BLACK TOM CASSIDY
1116,138,COLLECTIVE MAN
1794,138,EXODUS/BENNET DUPARI
2051,138,GAMMENON [CELESTIAL]
4758,138,"ROSS, EVERETT KENNET"
5193,138,SLEEPWALKER
339,137,"BANNON, LANCE"
967,137,CERISE II [SHI'AR]
1425,137,DEFENSOR
4204,137,"PEREGRINE, LE/FRANCK"
6012,137,VECTOR
1189,136,"CORSI, TOM"
2672,136,ISAAC
4929,136,SCOURGE
5576,136,SWORDSMAN III/PHILIP
6075,136,"VOGHT, AMELIA"
2504,135,"HOGARTH, JERYN"
3264,135,LORD CHAOS
3625,135,"MERCADO, JOY"
6031,135,VERTIGO II
2494,134,HOBGOBLIN II/RODERIC
2623,134,IMPOSSIBLE MAN
4438,134,"QUARTERMAIN, CLAY"
4473,134,RADIOACTIVE MAN/DR. 
6146,134,WARSTAR
419,133,BEDLAM/JESSE AARONSO
3045,133,JOSEPH
3081,133,LADY LARK/LINDA LEWI
5500,133,STRYFE
4621,132,REJECT/RAN-SAK [DEVI
5480,132,STRIDER
1469,131,DESTROYER III
2693,131,KAINE
1247,130,CROSSBONES/BROCK BIN
1748,130,EON
1988,130,"FREEMAN, DUANE JEROM"
3506,130,MASQUE
4247,130,"PIERCE, DONALD"
4576,130,"REAGAN, RONALD"
5440,130,STILT-MAN/WILBUR DAY
1206,129,CR'REEE
2577,129,"HUNTER, STEVIE"
111,128,ANALYZER
189,128,ARCADE/
325,128,"BALDWIN, MADELYNE MA"
1727,128,"ELLIS, KEN"
3216,128,LLYRA/LLYRA MORRIS
4966,128,SENTINELS
5935,128,ULIK
6235,128,WIDGET
6418,128,"ZARRKO, ARTHUR"
185,127,ARAGORN
561,127,BLACKWING/JOSEPH MAN
1958,127,FOREIGNER/RAFAEL BAS
3532,127,"MASTERSON, KEVIN"
5019,127,SHANG-CHI
5647,127,TASKMASTER
759,126,BUCKY/BUCKY BARNES
1045,126,"CHORD, ANDREW"
1175,126,COPYCAT/VANESSA
1910,126,FIZ [SKRULL]
1991,126,"FRIEDLANDER, SHARON"
5613,126,"TALBOT, GLENN"
612,125,BLOODSTORM | MUTANT 
748,125,BRUTE | MUTANT X-VER
856,125,"CANTOR, VERA"
3176,125,LIBRA/GUSTAV BRANDT
3618,125,MENTALLO
4925,125,SCORPION/MACDONALD G
2602,124,ICE-MAN | MUTANT X-V
3220,124,LOBO
4997,124,SHADOW KING/AMAHL FA
6219,124,WHITE TIGER II/
278,123,"AUSTIN, SUSAN"
1989,123,FRENCHIE/JEAN-PAUL D
2212,123,GRAVITON/FRANK HALL
2639,123,INFINITY II
3903,123,NEBULA
5386,123,STARBOLT
5664,123,TEMPEST/GRANNZ
2,122,3-D MAN/CHARLES CHAN
3272,122,LORELEI II/MELODI [A
3407,122,MAN-APE/M'BAKU
4069,122,ONE ABOVE ALL [CELES
4781,122,"RUIZ, RIGGER"
3173,121,"LEWIS, SHIRLEY WASHI"
4080,121,ORKA
148,120,ANNIHILUS
197,120,ARES [GREEK GOD]
714,120,BRIGHTWIND
853,120,CANNONBALL/JACK PULV
2499,120,"HODGE, CAMERON"
3080,120,LADY DEATHSTRIKE/YUR
3520,120,MASTER ORDER
3974,120,NITRO/ROBERT L. HUNT
4321,120,POWER PRINCESS/ZARDA
4881,120,"SAXON, STARR"
6441,120,"ZOLA, ARNIM"
128,119,ANDROMEDA/ANDROMEDA 
1194,119,COTTONMOUTH II
3356,119,MAGDALENE/MARISSA DA
3469,119,MARRINA/MARRINA SMAL
4309,119,POUNDCAKES/MARIAN PO
5214,119,SMASHER IV
99,118,AMERICAN EAGLE III/J
228,118,ARON [WATCHER]
1992,118,FRIGGA
2316,118,"HALLER, GABRIELLE"
2919,118,KURSE/ALGRIM [ASGARD
3210,118,LIVING MUMMY
3354,118,MAELSTROM/MALCOLM ST
4527,118,"RANSOME, JENNIFER AM"
6038,118,VIBRAXAS/N'KANO
2045,117,"GAMBONNO, ERNESTO"
2046,117,"GAMBONNO, LUIGI"
3097,117,"LANE, LOIS"
6095,117,VOSTOK
453,116,BEREET
1937,116,FLYING TIGER
4641,116,"REYES, DR. CECELIA"
5830,116,TORO/TOM RAYMOND
5615,115,TALISMAN
5925,115,TYRANNUS
578,114,BLASTAAR
1071,114,"CLARKE, GENERAL JERE"
1350,114,DAREDEVIL DOPPELGANG
1957,114,FOREARM
4542,114,"RASSITANO, MAD DOG"
5504,114,"STUART, DR. ALISTAIR"
3770,113,MORBIUS/DR. MICHAEL 
5105,113,SIKORSKY
6269,113,WINDSHEAR/COLIN ASHW
2667,112,IRON MAN V/TEEN TONY
4210,112,PERSUASION/KARA KILL
4400,112,PUCK DOPPELGANGER II
1065,111,"CLAREMONT, CHRIS"
3670,111,MIMIC/CALVIN RANKIN
3960,111,NIGHTSHADE/TILDA
4262,111,PIPELINE/CORMICK GRI
5096,111,SIDEWINDER/SETH VOEL
5792,111,TITAN
1498,110,DIAMOND LIL/LILLIAN 
1567,110,DOPPELGANGER
1676,110,EARTHQUAKE
3802,110,"MOY, ALYSSA"
3935,110,NEZARR
4064,110,OMEGA RED/ARKADY ROS
4908,110,SCHEMER/RICHARD FISK
5125,110,SILVERCLAW/LA GARRA 
5412,110,"STEELE, MARCY MASTER"
5685,110,TERRAX II/TYROS
521,109,BLACK KNIGHT IV/PROF
994,109,CHAMELEON/DMITRI SME
1616,109,DRAGON MAN
5030,109,"SHARPE, ROSALINDE"
5073,109,SHOCKWAVE/LANCASTER 
5791,109,TINKERER
1082,108,"CLINTON, BILL"
2248,108,GRIM REAPER/ERIC WIL
3870,108,N'ASTIRH
4072,108,ONSLAUGHT II
4306,108,POSITRON/RONNIE
4653,108,"RICHARDS, NATHANIEL"
5332,108,SPRITE
5548,108,SUPER-ADAPTOID/ALESS
1735,107,EMPLATE/MARIUS ST. C
3774,107,"MOREAU, PHILLIP"
3832,107,"MUGGINS, MAMIE"
5321,107,SPITFIRE/LADY JACQUE
602,106,BLOOD BROTHERS
812,106,"CABE, BETHANY"
1288,106,CYCLONE II/PIERRE FR
1490,106,"DEWOLFF, JEAN"
4411,106,PUMA/THOMAS FIREHEAR
4545,106,RATTLER
5546,106,SUPER SABRE/MARTIN F
6367,106,"YASHIDA, MARIKO"
6374,106,YELLOWJACKET II/RITA
229,105,ARRANGER/
3504,105,"MASON, LOUISE"
5295,105,SPEEDBALL II/DARRION
5770,105,THUNDRA
6162,105,"WATSON, KRISTY"
6430,105,ZERO
955,104,CENTURY
4118,104,OZYMANDIAS
5661,104,TEFRAL
6311,104,WOLVERINE SKRULL
1409,103,DEATHCRY [SHI'AR]
2472,103,HILDY [ASGARDIAN]
3651,103,MICROCHIP/LINUS LIEB
